"Date","Open","High","Low","Close","Volume"
#2017-01-02#,67.92,67.93,67.39,67.59,1397051
#2017-01-03#,67.85,68.04,67.31,67.87,2318664
#2017-01-04#,67.92,68.525,67.92,68.29,1715110
#2017-01-05#,68.28,68.53,68.06,68.31,1562293
#2017-01-06#,68.4,68.83,68.25,68.68,1842520
#2017-01-09#,68.42,68.4262,67.78,67.8,1167978
#2017-01-10#,67.84,68.325,67.46,67.51,1781966
#2017-01-11#,67.4,67.68,66.9648,67.44,2162076
#2017-01-12#,67.14,67.66,66.75,67.58,2110344
#2017-01-13#,67.69,68.1,67.68,67.73,1221958
#2017-01-16#,67.69,68.1,67.68,67.73,1221958
#2017-01-17#,67.4,68.015,67.16,67.64,1384844
#2017-01-18#,67.85,68.271,67.58,68.17,1750220
#2017-01-19#,68.32,68.32,67.33,67.45,1577612
#2017-01-20#,67.62,67.99,67.49,67.99,2107167
#2017-01-23#,67.58,67.72,67.33,67.56,1235073
#2017-01-24#,67.8,68.36,67.74,68.23,1813272
#2017-01-25#,68.52,68.8,68.41,68.66,2163994
#2017-01-26#,68.69,69,68.55,68.75,1418142
#2017-01-27#,68.94,69.18,68.67,68.85,1956768
#2017-01-30#,68.56,68.79,67.94,68.34,1874926
#2017-01-31#,68.26,68.47,67.7,68.02,2191438
#2017-02-01#,68.12,68.41,67.32,67.41,2126318
#2017-02-02#,67.78,69.78,67.61,69.55,2931520
#2017-02-03#,70.25,70.6,69.69,70.52,2986389
#2017-02-06#,70.2,70.645,69.86,69.91,1654894
#2017-02-07#,70.19,70.26,69.71,69.77,1127867
#2017-02-08#,69.38,70.44,69.33,70.41,2278201
#2017-02-09#,70.58,70.87,70.455,70.58,1641454
#2017-02-10#,70.69,71.29,70.45,71.08,2866507
#2017-02-13#,71.25,71.73,71.03,71.48,1414345
#2017-02-14#,71.55,71.99,71.43,71.94,1492129
#2017-02-15#,71.88,72.72,71.67,72.63,1609015
#2017-02-16#,72.5,73.29,72.44,73.26,2173657
#2017-02-17#,72.93,73.52,72.73,73.52,2029848
#2017-02-20#,72.93,73.52,72.73,73.52,2029848
#2017-02-21#,73.38,73.67,72.72,72.93,1729613
#2017-02-22#,72.51,73.18,72.5,72.93,1502901
#2017-02-23#,73.15,73.57,72.87,73.54,2203063
#2017-02-24#,73.18,73.74,72.95,73.51,1908356
#2017-02-27#,73.65,73.9,72.66,73.47,868775
#2017-02-28#,73.23,73.72,73.05,73.48,1825566
#2017-03-01#,74.06,74.76,73.93,74.65,1677264
#2017-03-02#,74.52,74.59,74.1,74.13,1248796
#2017-03-03#,74.11,74.34,73.87,74.22,1014915
#2017-03-06#,73.82,74.27,73.65,73.82,1197874
#2017-03-07#,73.59,73.93,73.48,73.62,1261248
