"Date","Open","High","Low","Close","Volume"
#2017-01-02#,71.51,71.8499,71.02,71.23,2641605
#2017-01-03#,72.27,72.96,71.18,72.27,4393600
#2017-01-04#,71.93,72.2,71.07,71.48,4151373
#2017-01-05#,71.32,71.4803,70.5443,70.62,4769923
#2017-01-06#,70.62,71.39,70.34,71.08,3935597
#2017-01-09#,70.52,70.81,69.9,70.48,5543707
#2017-01-10#,70.49,70.7637,69.29,69.35,3993244
#2017-01-11#,69.4,69.935,68.88,69.35,6423151
#2017-01-12#,69.53,69.64,68.47,69.03,5343581
#2017-01-13#,68.94,69.38,68.66,69.08,3739757
#2017-01-16#,68.94,69.38,68.66,69.08,3739757
#2017-01-17#,69.74,70.16,69.09,69.73,3776391
#2017-01-18#,69.29,69.88,69.06,69.32,3659302
#2017-01-19#,69.58,69.75,68.38,68.73,3901113
#2017-01-20#,69.35,69.4,68.27,68.59,4239082
#2017-01-23#,68.29,68.58,67.65,67.99,3129426
#2017-01-24#,68.44,68.5001,67.61,67.87,4946787
#2017-01-25#,68.1,69.25,67.91,68.13,6147386
#2017-01-26#,68.28,68.57,67.85,68.55,3698706
#2017-01-27#,68.37,68.9556,68.14,68.95,3836483
#2017-01-30#,68.53,68.85,67.32,67.88,4550978
#2017-01-31#,68,68.09,67.33,67.77,5538449
#2017-02-01#,67.93,68.1,67.02,67.61,3975702
#2017-02-02#,67.6,69.0962,67.26,68.5,4889780
#2017-02-03#,68.44,69.835,68.11,69.18,4069430
#2017-02-06#,68.95,69.28,67.985,68.19,3799313
#2017-02-07#,67.91,67.95,66.35,66.82,4857230
#2017-02-08#,66.6,67.2,65.625,66.77,5676701
#2017-02-09#,66.37,68.33,66.16,68.19,6778515
#2017-02-10#,68.57,69.9,68.16,68.47,7394535
#2017-02-13#,67.39,67.71,66.88,67.39,6123996
#2017-02-14#,67.5,67.75,65.71,67.16,8696997
#2017-02-15#,66.87,67.66,66.75,67.21,4673912
#2017-02-16#,67.38,67.38,66.36,66.44,4905177
#2017-02-17#,66.16,66.28,65.39,66.27,5259157
#2017-02-20#,66.16,66.28,65.39,66.27,5259157
#2017-02-21#,67,67.25,66.59,66.98,4796142
#2017-02-22#,66.58,66.955,65.88,65.91,5177711
#2017-02-23#,66.51,66.61,65.081,65.25,6441463
#2017-02-24#,65.03,65.13,64.1875,64.89,5286608
#2017-02-27#,64.93,65.7,64.66,65.47,5015678
#2017-02-28#,65.23,65.68,65.04,65.55,5309417
#2017-03-01#,66.21,66.79,65.95,66.24,5277025
#2017-03-02#,65.84,66.14,65.37,65.5,5647005
#2017-03-03#,65.38,65.48,64.635,64.86,5089671
#2017-03-06#,64.82,65.04,64.49,64.73,5100805
#2017-03-07#,64.86,64.97,64.5,64.7,5391588
#2017-03-08#,63.73,63.96,62.01,62.06,7225961
#2017-03-09#,61.87,62.59,61.01,62.5,8182533
#2017-03-10#,63,63.05,62.19,62.6,6070041
#2017-03-13#,62.51,63.29,62.5,62.88,6118100
#2017-03-14#,62.36,63.25,61.8,63.04,5747013
#2017-03-15#,64.3,65.21,63.69,65.06,7500332
#2017-03-16#,65.02,65.07,63.72,63.82,5789495
#2017-03-17#,63.99,64.3399,63.82,64.09,7553837
#2017-03-20#,63.76,64.06,63.44,63.66,4655581
#2017-03-21#,63.97,64.065,63.27,63.36,6446632
#2017-03-22#,63.28,63.695,62.78,63.51,4984519
#2017-03-23#,63.25,63.72,62.97,63.04,3975466
#2017-03-24#,63.16,63.42,62.43,62.83,4228916
#2017-03-27#,62.15,62.99,62.1,62.87,3350289
#2017-03-28#,62.87,63.62,62.555,63.4,4961358
#2017-03-29#,63.21,63.94,63.04,63.78,4351410
#2017-03-30#,64.05,64.495,63.52,64.27,8501408
#2017-03-31#,64.01,64.32,63.1,63.36,6520820
#2017-04-03#,63.38,63.875,62.71,63.74,4324440
#2017-04-04#,63.72,64.02,62.91,64.01,3051136
#2017-04-05#,64.37,64.87,63.32,63.43,4740765
#2017-04-06#,63.64,63.7758,63.17,63.28,4285656
#2017-04-07#,63.4,63.55,62.92,62.99,3871733
#2017-04-10#,63.29,64.44,63.24,64.14,4063136
#2017-04-11#,64.26,65.05,63.9,64.98,4828751
#2017-04-12#,64.94,65.73,64.755,65.06,6533850
#2017-04-13#,64.97,65.1,63.915,64.09,4693006
#2017-04-14#,64.97,65.1,63.915,64.09,4693006
#2017-04-17#,64.14,64.1499,63.63,64.03,4065041
#2017-04-18#,63.82,64.14,62.69,62.7,4404077
#2017-04-19#,62.84,63.12,61.71,61.96,5447455
#2017-04-20#,62.12,62.325,61.8,61.93,4094049
#2017-04-21#,61.78,62.285,61.48,61.86,4400227
#2017-04-24#,62.34,62.51,61.71,62.07,2945205
#2017-04-25#,62.39,62.59,62.07,62.5,3384563
#2017-04-26#,62.1,62.92,61.95,62.43,3559019
#2017-04-27#,62.16,62.25,61.03,61.52,6506485
#2017-04-28#,61.95,62.04,61.35,61.54,3724077
#2017-05-01#,61.54,61.6,60.5,60.82,4615127
#2017-05-02#,60.9,61.089,59.3901,60.04,5447723
#2017-05-03#,60.12,60.31,59.66,60.17,6641184
#2017-05-04#,59.5,59.64,57.2,58.02,11589299
#2017-05-05#,58.24,60.42,58.13,60.4,7710430
#2017-05-08#,60.26,60.67,60.05,60.6,5637121
#2017-05-09#,60.58,60.62,59.8,59.88,4491295
#2017-05-10#,60.24,61.48,60.24,61.33,5881363
#2017-05-11#,61.49,61.65,60.78,61.07,3924825
#2017-05-12#,60.86,61.39,60.77,60.87,3675942
#2017-05-15#,62.07,62.12,61.06,61.31,5426751
#2017-05-16#,61.47,61.47,60.24,60.53,3524351
#2017-05-17#,60.27,60.87,60.03,60.27,4053482
#2017-05-18#,60.05,60.65,59.52,60.29,3506394
#2017-05-19#,60.75,61.24,60.51,60.64,4442805
#2017-05-22#,60.84,61.04,60.23,60.59,3008876
#2017-05-23#,60.6,61.61,60.55,61.56,3826682
#2017-05-24#,61.52,61.79,60.85,61.16,4697166
#2017-05-25#,60.86,61.355,60.24,60.71,4688286
#2017-05-26#,60.85,61.525,60.71,61,4675380
#2017-05-29#,60.85,61.525,60.71,61,4675380
#2017-05-30#,60.6,60.75,60,60.12,3381474
#2017-05-31#,59.62,59.99,58.91,58.93,7475466
#2017-06-01#,59.09,60.8,58.79,60.51,7530877
#2017-06-02#,60.17,60.7,59.665,60.7,6778398
#2017-06-05#,60.26,60.325,59.47,60.06,5403983
#2017-06-06#,60,61.8625,59.89,61.65,7535630
#2017-06-07#,60.76,61.45,59.67,60.13,9861656
#2017-06-08#,59.44,59.79,58.07,58.61,10782760
#2017-06-09#,58.68,61.2,58.67,61.01,6236989
#2017-06-12#,61.5,62.16,60.73,60.85,5823394
#2017-06-13#,60.86,61.41,60.46,61,4041097
#2017-06-14#,60.83,60.88,59.53,60.12,4894201
#2017-06-15#,59.8,60.21,58.905,59.4,3982832
#2017-06-16#,59.74,61.91,59.53,61.83,6438519
#2017-06-19#,61.68,62.115,61.32,62.03,6818296
#2017-06-20#,60.88,61,59.67,60.77,4150077
#2017-06-21#,60.38,61.27,59.63,59.88,4976093
#2017-06-22#,60.01,61.03,59.665,60.21,3700511
#2017-06-23#,60.23,60.59,59.71,60.12,4844028
#2017-06-26#,60.11,60.44,59.39,60.01,3687612
#2017-06-27#,60.11,60.34,59.59,59.63,2976107
#2017-06-28#,59.9,60.08,59.32,59.57,4533379
#2017-06-29#,59.69,60.7,59.69,59.8,3959749
#2017-06-30#,60.17,60.37,59.29,59.87,4707823
#2017-07-03#,60.17,61.56,60.13,61.26,2806548
#2017-07-04#,60.17,61.56,60.13,61.26,2806548
#2017-07-05#,61.04,61.08,59.66,59.75,4070463
#2017-07-06#,59.83,59.925,58.62,58.87,4341003
#2017-07-07#,58.73,58.75,57.84,58.68,3257119
#2017-07-10#,58.55,59.16,58.38,58.77,2778252
#2017-07-11#,58.92,59.175,58.47,58.94,2757330
#2017-07-12#,59.56,59.77,59,59.16,3355836
#2017-07-13#,59.05,59.52,58.6,59.5,3053760
#2017-07-14#,59.53,59.93,59.42,59.82,2575077
#2017-07-17#,59.74,60.875,59.68,60.04,3966824
#2017-07-18#,60.22,60.42,59.88,60.24,3613717
#2017-07-19#,60.14,60.895,59.73,60.89,4062599
#2017-07-20#,61.16,61.25,60.3,60.52,3082246
#2017-07-21#,60.15,60.5,59.99,60.03,3418942
#2017-07-24#,60.13,60.21,59.31,59.41,2750554
#2017-07-25#,60.17,61.57,60.1,61.01,3941343
#2017-07-26#,61.33,61.9803,60.86,61.59,3537841
#2017-07-27#,61.48,62.165,61.08,62.14,4622516
#2017-07-28#,61.95,63.02,61.95,62.73,3984814
#2017-07-31#,62.63,62.71,61.67,61.93,4102133
#2017-08-01#,62.1,62.12,61.07,61.53,2918207
#2017-08-02#,60.95,61.39,60.41,61.37,5934599
#2017-08-03#,62.22,62.23,60.75,61.55,5768938
#2017-08-04#,61.55,62.21,61.55,62.09,3313589
#2017-08-07#,61.91,62.095,61.635,61.83,3204400
#2017-08-08#,61.61,62.14,61.185,61.35,3231082
#2017-08-09#,61.8,61.98,61.28,61.66,2483393
#2017-08-10#,61.71,62.01,61.2,61.34,2991021
#2017-08-11#,61.28,61.37,60.93,61.13,2475317
#2017-08-14#,61.33,61.69,60.9,61.24,2464144
