"Date","Open","High","Low","Close","Volume"
#2017-01-02#,53.44,53.5,52.67,53.06,2018056
#2017-01-03#,53.11,53.85,52.96,53.39,1927260
#2017-01-04#,53.64,54.17,53.5,54.05,2331007
#2017-01-05#,53.9,54.26,53.33,53.61,2081140
#2017-01-06#,53.56,53.93,53.26,53.72,1253538
#2017-01-09#,53.7,54.17,53.42,53.62,2987093
#2017-01-10#,53.7,54.22,53.45,53.78,2748673
#2017-01-11#,53.58,54.2,53.45,54.14,1966363
#2017-01-12#,53.84,54.08,53.037,53.67,1915912
#2017-01-13#,53.68,54.08,53.44,53.55,1694475
#2017-01-16#,53.68,54.08,53.44,53.55,1694475
#2017-01-17#,53.35,53.5,52.77,52.99,1799776
#2017-01-18#,53.15,53.2,52.66,53.03,2223581
#2017-01-19#,53.14,53.15,52.411,52.68,1934820
#2017-01-20#,53.75,53.96,53.13,53.69,3085267
#2017-01-23#,53.77,54.36,53.65,54.31,2406555
#2017-01-24#,54.51,56.01,54.48,55.9,3820479
#2017-01-25#,56.48,58.26,56.46,57.99,5187981
#2017-01-26#,58.61,58.86,57.3701,57.51,3650489
#2017-01-27#,57.73,57.84,57.19,57.34,2044253
#2017-01-30#,57.02,57.02,56.312,56.89,2272303
#2017-01-31#,56.83,57.36,56.21,56.6,3746996
#2017-02-01#,56.73,57.12,56.01,56.5,2990628
#2017-02-02#,55.48,55.78,52.3003,53.35,8057286
#2017-02-03#,53.55,53.67,52.22,53.01,5844163
#2017-02-06#,52.33,52.33,50.6,51.6,6180261
#2017-02-07#,51.91,52.66,51.68,52.13,4606236
#2017-02-08#,52.021,53.96,51.67,53.1,7574550
#2017-02-09#,52.94,53.09,52.05,52.16,4470988
#2017-02-10#,52.38,53.03,51.91,52.89,3815309
#2017-02-13#,52.5,53.47,52.35,52.68,3833660
#2017-02-14#,52.49,52.9164,52.33,52.88,2887222
#2017-02-15#,52.91,53.4,52.7,52.76,4414317
#2017-02-16#,52.86,53.5,52.73,53.38,2920714
#2017-02-17#,53.2,53.36,51.93,52.15,3944413
#2017-02-20#,53.2,53.36,51.93,52.15,3944413
#2017-02-21#,52.25,52.85,52.15,52.76,2517770
#2017-02-22#,52.33,52.38,51.46,52.03,2966888
#2017-02-23#,52.26,52.89,51.93,52.22,3615658
#2017-02-24#,52,52.67,51.9,52.62,2336155
#2017-02-27#,52.41,53.07,52.41,52.89,3017220
#2017-02-28#,52.73,53,52.54,52.7,3452915
#2017-03-01#,53.23,53.87,53.21,53.67,3096383
#2017-03-02#,53.5,54.11,53.39,53.72,3817393
#2017-03-03#,53.73,54.25,53.645,54,2943537
#2017-03-06#,53.64,53.88,52.1301,52.33,3231373
#2017-03-07#,52.15,52.31,51.45,51.48,2761153
#2017-03-08#,51.72,51.94,51.41,51.54,2271981
#2017-03-09#,51.53,51.5503,50.48,50.73,3135524
#2017-03-10#,50.93,51.5,50.42,50.7,3967792
#2017-03-13#,50.84,51.12,50.58,50.69,4170173
#2017-03-14#,50.57,50.8,50.28,50.68,1859647
#2017-03-15#,50.95,51.61,50.73,51.36,2744462
#2017-03-16#,51.63,51.81,51.23,51.46,2712468
#2017-03-17#,51.67,51.785,51.24,51.36,3770864
#2017-03-20#,51.48,52.27,51.06,52.22,2233076
#2017-03-21#,52.37,52.47,50.77,50.92,3247433
#2017-03-22#,51.03,51.42,50.59,51.17,1567317
#2017-03-23#,51.2,51.89,51.05,51.31,2098829
#2017-03-24#,51.4,51.48,50.56,50.81,2071833
#2017-03-27#,50.21,50.4,49.62,50.27,2153484
#2017-03-28#,50.19,51.08,50.14,50.93,1905991
#2017-03-29#,50.72,51.07,50.62,50.74,1698152
#2017-03-30#,50.64,51.16,50.56,51.14,2109655
#2017-03-31#,50.9,51.25,50.72,50.78,3210838
#2017-04-03#,50.89,51.14,49.86,50.19,2701473
#2017-04-04#,50.22,50.82,49.99,50.7,2369595
#2017-04-05#,50.85,51.295,50.52,50.58,1524565
#2017-04-06#,50.53,51.27,50.45,50.95,1221191
#2017-04-07#,50.77,51.1099,50.44,50.51,1434424
#2017-04-10#,50.67,50.84,50.22,50.45,1661936
#2017-04-11#,50.3,50.4599,49.91,50.26,1666713
#2017-04-12#,50.16,50.32,49.6,50.04,3454565
#2017-04-13#,49.91,50.01,49.62,49.64,1973533
#2017-04-14#,49.91,50.01,49.62,49.64,1973533
#2017-04-17#,49.95,50.475,49.93,50.47,1797160
#2017-04-18#,50.87,51.99,50.87,51.45,3130081
#2017-04-19#,52.03,52.72,51.97,52.33,3047229
#2017-04-20#,52.54,53.3001,52.36,53.02,3996020
#2017-04-21#,53,53.03,52.56,52.78,2368180
#2017-04-24#,53.6,53.68,53.2,53.21,3156676
#2017-04-25#,53.6,53.97,53.53,53.69,2661285
#2017-04-26#,53.74,54.23,53.63,54.07,1907750
#2017-04-27#,54,55.54,53.19,54.92,3097951
#2017-04-28#,54.63,54.87,53.845,53.97,2696458
#2017-05-01#,54.09,54.195,53.66,53.78,2490061
#2017-05-02#,53.76,53.9718,53.41,53.69,1916775
#2017-05-03#,53.39,53.562,53.09,53.28,2238552
#2017-05-04#,53.26,53.5,52.965,53.15,2393912
#2017-05-05#,53.38,53.52,52.9,53.44,2254221
#2017-05-08#,53.38,53.595,52.88,52.94,2050602
#2017-05-09#,53.02,53.21,52.52,52.54,1979734
#2017-05-10#,52.5,53.26,52.41,53.07,2117131
#2017-05-11#,52.81,53.105,52.32,52.55,2119826
