"Date","Open","High","Low","Close","Volume"
#2001-01-01#,73.5,73.5,70.5,71.625,538700
#2001-01-02#,70.0625,70.0625,67,68.875,948500
#2001-01-03#,68.625,70.5625,66.5,68.5625,645700
#2001-01-04#,68.625,69.4375,59,62.25,1487600
#2001-01-05#,62.1875,62.1875,59.4375,60.125,708300
#2001-01-08#,60.375,63.5,59.25,62.3125,520100
#2001-01-09#,62.3125,62.5625,59.6875,60.5625,538700
#2001-01-10#,60.5,60.5,58,60.25,727700
#2001-01-11#,60.25,60.5,57.625,58.1875,759200
#2001-01-12#,58.125,58.125,54.3125,55.375,1506300
#2001-01-15#,58.125,58.125,54.3125,55.375,1506300
#2001-01-16#,54.5,58.375,54.5,58.0625,684700
#2001-01-17#,58.0625,59.5,56.1875,57.1875,859800
#2001-01-18#,57.0625,57.5,56.3125,57.25,556400
#2001-01-19#,57.3125,59.5,57.3125,58.75,655000
#2001-01-22#,57.875,62.125,57.875,61.3125,668400
#2001-01-23#,59.75,61.75,58.4375,60.5,709700
#2001-01-24#,60.75,63.4375,60.5,61.0625,401700
#2001-01-25#,61.5,63.0625,60,62.875,242600
#2001-01-26#,63.5,64.5,60.5,62,273000
#2001-01-29#,62.01,62.24,60.04,60.77,285900
#2001-01-30#,60.8,60.88,57.8,58.25,810100
#2001-01-31#,58.25,58.25,56.75,57.4,880700
#2001-02-01#,58,58.74,57.6,58.35,354000
#2001-02-02#,57.85,59.5,57.84,59.5,347200
#2001-02-05#,59.5,63,59.5,62.08,463500
#2001-02-06#,62.6,63.75,61.8,62,371900
#2001-02-07#,62.05,64.9,62.05,64.03,554800
#2001-02-08#,64.03,64.1,63.08,63.11,211500
#2001-02-09#,63.1,63.2,62.21,62.73,130700
#2001-02-12#,62.9,64.15,62.69,63.65,151500
#2001-02-13#,63.75,64.21,61,61,307900
#2001-02-14#,61,63.1,61,62.48,257000
#2001-02-15#,62.3,62.3,60.1,60.83,180200
#2001-02-16#,59.83,61.85,59.83,61.39,220200
#2001-02-19#,59.83,61.85,59.83,61.39,220200
#2001-02-20#,61.38,61.6,59.4,60,353000
#2001-02-21#,59.8,60.2,57.54,58.21,440500
#2001-02-22#,59.5,60.88,59.4,60.15,804800
#2001-02-23#,60.15,60.2,59.6,59.78,482600
#2001-02-26#,60.5,61.6,60.5,61.5,315700
#2001-02-27#,61.35,62.45,61.3,61.86,400400
#2001-02-28#,63.5,64,62.62,63.25,578800
#2001-03-01#,63.5,65.35,63.15,65.23,681900
#2001-03-02#,65.17,67.75,65.17,66.5,747600
#2001-03-05#,66.6,66.8,65.35,65.44,338800
#2001-03-06#,65.45,66,65.3,65.44,212700
#2001-03-07#,65.44,65.45,64.35,64.7,319600
#2001-03-08#,64.45,65.3,64.25,64.6,324400
#2001-03-09#,64.85,65,64.5,64.6,167000
#2001-03-12#,64.85,65.95,64.29,64.29,286500
#2001-03-13#,64.29,64.29,62.3,63.97,243500
#2001-03-14#,62.1,64,61.8,63.49,260200
#2001-03-15#,63.74,64.3,63.53,63.95,212000
#2001-03-16#,64,64,63.59,63.68,171000
#2001-03-19#,64.1,64.15,62.5,63.69,255100
#2001-03-20#,63.9,64.46,63.4,63.5,247000
#2001-03-21#,63.1,63.1,61.5,61.61,300300
#2001-03-22#,61.4,61.4,58.24,60.02,329400
#2001-03-23#,60.12,62.54,59.88,61.32,344600
#2001-03-26#,62.35,63.49,62.15,62.9,210900
#2001-03-27#,62.9,62.9,61.75,62,179000
#2001-03-28#,62,63.16,61.78,63.09,244400
#2001-03-29#,63.65,66.1,63.46,64.46,330200
#2001-03-30#,64.56,67.45,64.56,66.52,334500
#2001-04-02#,66.65,68.84,66.45,67.82,514700
#2001-04-03#,67.82,67.82,66.01,66.37,563300
#2001-04-04#,66.38,67,64.4,64.5,616100
#2001-04-05#,65.75,67.54,65.63,65.75,466700
#2001-04-06#,65.5,65.51,64.45,64.6,450100
#2001-04-09#,64.55,65.3,63.78,64.37,242100
#2001-04-10#,64.37,65.86,64.37,65.1,295000
#2001-04-11#,65.3,66.35,65,66.35,281000
#2001-04-12#,66.35,67.08,65.28,65.52,314900
#2001-04-13#,66.35,67.08,65.28,65.52,314900
#2001-04-16#,65.77,67.63,65.77,66.67,319800
#2001-04-17#,66.68,69.3,66.63,68.4,236700
#2001-04-18#,68.65,69.15,66.62,67.2,356300
#2001-04-19#,67.2,67.4,66.6,66.65,305300
#2001-04-20#,66.82,66.9,65.56,65.92,162800
#2001-04-23#,65.92,65.98,65,65.92,152000
#2001-04-24#,65.92,65.92,61.5,62.6,1582900
#2001-04-25#,61.25,62.39,61.25,62.23,732900
#2001-04-26#,62.3,63.75,62.3,63.7,460700
#2001-04-27#,63.95,64.32,63.52,63.99,292500
#2001-04-30#,64.24,64.5,63.5,63.85,299500
#2001-05-01#,64.5,64.5,62.71,63.09,275400
#2001-05-02#,61.35,63.2,61,62,536300
#2001-05-03#,61.9,63.3,61.6,63.3,289700
#2001-05-04#,62.9,64.25,62.13,64.25,328200
#2001-05-07#,64,64.01,62.75,62.85,216400
#2001-05-08#,63.1,64.25,63,63.1,336500
#2001-05-09#,63.35,66.27,63.11,65.7,430800
