"Date","Open","High","Low","Close","Volume"
#2017-01-02#,73.8,74.02,72.393,72.62,1759059
#2017-01-03#,72.6,74.1292,72.09,72.505,2687647
#2017-01-04#,72.77,73.0261,72.25,72.36,1970972
#2017-01-05#,72.41,72.61,71.28,71.32,2067347
#2017-01-06#,71.58,71.95,71.0005,71.6,2069899
#2017-01-09#,71.64,72.5101,71.52,71.94,2399482
#2017-01-10#,71.87,72.51,71.85,72.35,2403211
#2017-01-11#,72.27,72.66,72.07,72.62,1581704
#2017-01-12#,72.42,72.42,71,72.22,2099204
#2017-01-13#,72.36,72.8837,72.115,72.67,1509448
#2017-01-16#,72.36,72.8837,72.115,72.67,1509448
#2017-01-17#,72.23,73.41,71.85,72.28,2374615
#2017-01-18#,72.64,73.63,72.22,73.01,2107097
#2017-01-19#,72.88,73.39,72.29,72.44,1988799
#2017-01-20#,72.09,73.65,72.09,72.88,1811606
#2017-01-23#,72.74,73.24,72.41,72.78,2205565
#2017-01-24#,73.01,73.68,72.5587,73.51,3312910
#2017-01-25#,74.685,75.59,74.51,74.54,3944255
#2017-01-26#,74.37,74.54,73.77,74.2,4172570
#2017-01-27#,74.55,76.94,74.25,76.93,3820728
#2017-01-30#,76.76,76.76,75.23,76.28,2477104
#2017-01-31#,76.14,76.19,74.595,74.94,2610137
#2017-02-01#,75.76,76.73,75.42,76.17,2589106
#2017-02-02#,75.66,76.03,75.14,75.23,2490038
#2017-02-03#,75.52,75.73,75.26,75.52,2143141
#2017-02-06#,75.65,75.65,74.94,75.53,1789190
#2017-02-07#,75.69,76.58,75.39,76.31,2136116
#2017-02-08#,77,77.75,76.78,77.48,3397804
#2017-02-09#,77.77,77.77,76.48,76.51,2192298
#2017-02-10#,76.78,76.78,75.54,76.53,1668587
#2017-02-13#,77.01,78.03,76.81,77.92,2637630
#2017-02-14#,77.84,77.97,77.07,77.84,2589583
#2017-02-15#,80.8,81.63,77.96,81.6,7032662
#2017-02-16#,81,82.57,80.75,81.97,3465020
#2017-02-17#,81.8,82.5,81.48,82.48,2933246
#2017-02-20#,81.8,82.5,81.48,82.48,2933246
#2017-02-21#,82.5,82.87,81.99,82.82,2375575
#2017-02-22#,82.31,82.39,81.52,82.06,3680283
#2017-02-23#,82.15,82.16,81.03,81.61,2277865
#2017-02-24#,80.97,81.7,80.823,81.68,2841133
#2017-02-27#,81.65,82.43,81.24,82.28,1793205
#2017-02-28#,82.18,82.24,81.58,81.93,2045377
#2017-03-01#,82.45,83.79,82.15,83.76,2265145
#2017-03-02#,83.39,84.08,83.04,83.65,2714886
#2017-03-03#,83.62,83.65,83.04,83.18,2357205
#2017-03-06#,83,84.24,82.35,83.85,3717381
#2017-03-07#,83.7,84.167,83.21,83.41,2892716
#2017-03-08#,83.77,83.85,83.18,83.48,2381960
#2017-03-09#,83.38,83.66,82.8,83.17,2005287
#2017-03-10#,83.87,83.87,82.03,82.2,7495536
#2017-03-13#,82.15,82.99,82.0501,82.76,4873827
#2017-03-14#,82.52,83.73,82.4,83.68,4881069
#2017-03-15#,83.45,83.67,82.555,83.51,4499154
#2017-03-16#,83.29,83.5,82.41,82.72,4107669
#2017-03-17#,83.31,83.335,82.73,83.26,4184005
#2017-03-20#,83.26,83.7,82.88,82.9,2713967
#2017-03-21#,83.25,83.46,81.69,81.8,3316568
#2017-03-22#,81.84,82.26,81.65,82.12,2604890
#2017-03-23#,82.24,82.33,81.31,81.54,3394961
#2017-03-24#,81.86,82.9471,81.4,81.64,2223544
#2017-03-27#,81,81.54,80.39,81.4,2450693
#2017-03-28#,81.31,82.51,81.07,82.2,2916355
#2017-03-29#,81.89,82.22,81.47,81.91,2040482
#2017-03-30#,81.87,82.61,81.63,82.2,1337976
#2017-03-31#,82.05,82.48,81.77,81.95,2337302
#2017-04-03#,82.02,82.27,80.86,81.24,3084353
#2017-04-04#,80.81,81.39,80.5,81.24,5040761
#2017-04-05#,81.59,81.65,80,80.04,3514192
#2017-04-06#,80.11,80.66,79.59,80.32,3970751
#2017-04-07#,80.3,80.59,79.65,80.01,3308914
#2017-04-10#,80,80.12,79.19,79.33,2906963
#2017-04-11#,78.94,78.95,76.94,78.08,6040225
#2017-04-12#,78.27,78.45,76.63,76.87,2904147
#2017-04-13#,76.87,77.85,76.47,76.51,2223163
#2017-04-14#,76.87,77.85,76.47,76.51,2223163
#2017-04-17#,76.78,77.2,76.15,76.39,2462244
#2017-04-18#,75.83,77.53,75.82,77.41,3342580
#2017-04-19#,77.69,78.2,76.93,76.99,2625531
#2017-04-20#,77.52,78.89,77.2,78.66,2898859
#2017-04-21#,77.2,78.18,76.41,77.63,4476578
#2017-04-24#,79.47,80.07,78.99,79.22,2993699
#2017-04-25#,79.4,79.73,78.95,79.35,2570298
#2017-04-26#,79.41,79.46,77.58,77.98,2998678
#2017-04-27#,78.65,78.88,77.56,77.85,2375278
#2017-04-28#,77.86,77.98,75.96,76.2,4316369
#2017-05-01#,75.05,76.415,74.65,76.22,4571778
#2017-05-02#,76.48,76.49,75.3,75.51,5528417
#2017-05-03#,75.31,75.86,75.16,75.6,3131976
