"Date","Open","High","Low","Close","Volume"
#2007-01-01#,82.78,83.72,82.78,83.02,384400
#2007-01-02#,82.78,83.72,82.78,83.02,384400
#2007-01-03#,83.27,85.22,83.23,84.66,1608900
#2007-01-04#,84.35,84.9,83.61,84.75,774900
#2007-01-05#,84.75,85.13,84.1,84.73,742000
#2007-01-08#,84.74,84.74,84.09,84.6,667900
#2007-01-09#,84.63,85.09,83.57,84.71,560800
#2007-01-10#,84.48,86.17,83.86,85.87,838400
#2007-01-11#,85.91,86.83,85.77,86.09,615500
#2007-01-12#,86.09,86.29,85.6,85.8,561500
#2007-01-15#,86.09,86.29,85.6,85.8,561500
#2007-01-16#,85.75,86.12,83.85,84.25,1614800
#2007-01-17#,84.26,84.99,83.91,84.44,1038400
#2007-01-18#,85.74,86.27,84.95,85.97,1088400
#2007-01-19#,86.6,87.31,85.97,87.09,1081500
#2007-01-22#,86.5,86.75,85.59,86.52,610800
#2007-01-23#,86.8,87.86,86.7,87.38,709600
#2007-01-24#,87.45,89,87.45,88.85,773300
#2007-01-25#,89,89.39,88.18,88.39,1008400
#2007-01-26#,88.64,89.36,87.58,88.56,826500
#2007-01-29#,88.65,89.5,88.65,88.76,814700
#2007-01-30#,89,89.2,88.07,88.81,496500
#2007-01-31#,88.7,91.68,88.1,91.43,1247900
#2007-02-01#,90.73,92.71,90.6,92.25,1511300
#2007-02-02#,92.5,93.39,92.32,92.35,830200
#2007-02-05#,93.65,94.12,92.82,93.59,1885100
#2007-02-06#,93.6,95.04,93.315,94.9,1016200
#2007-02-07#,91.15,92.98,90.6,92.36,3573600
#2007-02-08#,91.36,91.97,90.1,90.5,1663700
#2007-02-09#,90.65,91.41,89.97,89.99,1550600
#2007-02-12#,90.1,90.35,89.54,89.78,884800
#2007-02-13#,90.03,91.37,89.88,91.32,725821
#2007-02-14#,91.32,92.46,91.32,92.06,1219393
#2007-02-15#,92.15,92.89,91.68,92.6,1115400
#2007-02-16#,92.74,96.77,92.16,96.2,2253900
#2007-02-19#,92.74,96.77,92.16,96.2,2253900
#2007-02-20#,96.68,96.68,95.09,95.84,1387600
#2007-02-21#,95.84,95.84,94.4,94.4,1498500
#2007-02-22#,94.41,94.5,93.2,93.61,867400
#2007-02-23#,93.15,93.75,92.51,93.35,669900
#2007-02-26#,93.74,93.96,92.64,93.55,735005
#2007-02-27#,93,93.01,89.4,89.95,1577700
#2007-02-28#,89.46,89.88,88.01,88.21,1923700
#2007-03-01#,87.9,88.92,86.05,88.36,1030377
#2007-03-02#,87.9,88.38,86.77,86.92,1176800
#2007-03-05#,86.55,87,85,86.24,1216800
#2007-03-06#,86.9,87.61,86.15,86.81,1439900
#2007-03-07#,86.65,89.13,86.65,88.22,1291400
#2007-03-08#,89,89.52,88.44,88.82,778900
#2007-03-09#,89.4,89.5,87.53,87.85,594800
#2007-03-12#,87.4,87.75,86.47,86.77,1267200
#2007-03-13#,86.77,86.93,84.56,84.79,1439600
#2007-03-14#,85.65,86,83.21,84.19,1786100
#2007-03-15#,84.19,84.95,83.76,84.51,826703
#2007-03-16#,84.46,85.47,83.51,84.09,1479300
#2007-03-19#,84.65,85,84.1,84.78,886200
#2007-03-20#,85.1,86.91,84.86,86.51,1039600
#2007-03-21#,86.61,88.33,86.06,88.27,878200
#2007-03-22#,88.31,88.67,86.7,87.13,1026400
#2007-03-23#,87.13,88.06,86.87,87.63,571700
#2007-03-26#,87.5,87.65,86.21,86.88,1287500
#2007-03-27#,86.44,86.85,85.25,85.36,1093069
#2007-03-28#,85.26,85.27,83.8,84.37,898600
#2007-03-29#,84.9,85.04,83.62,84.49,914137
#2007-03-30#,84.5,85.35,84.08,84.91,1133100
#2007-04-02#,85.19,85.73,84.17,84.84,1014200
#2007-04-03#,85.05,85.66,84.75,85.12,762500
#2007-04-04#,85.35,85.51,84.71,85.15,807300
#2007-04-05#,85.28,86.57,85.08,86.27,894400
#2007-04-06#,85.28,86.57,85.08,86.27,894400
#2007-04-09#,86.41,87.34,86.25,87.26,846500
#2007-04-10#,87.45,87.8,87.07,87.8,896000
#2007-04-11#,87.81,88.9,87.57,87.88,1289119
#2007-04-12#,87.88,88.69,86.94,88.26,699211
#2007-04-13#,88.58,88.95,88.27,88.77,935700
#2007-04-16#,88.89,89.58,88.08,88.3,1070900
#2007-04-17#,89.15,89.55,88.17,88.22,1135000
#2007-04-18#,88.27,89.42,88.13,89.27,1612200
#2007-04-19#,89.28,89.85,88.6,89.68,1105200
#2007-04-20#,90.55,91.36,90,90.47,978500
#2007-04-23#,90.4,90.97,90.21,90.35,971600
#2007-04-24#,96.7,105.65,96.16,102.85,10732786
#2007-04-25#,101.27,107.63,100.94,107.4,3699352
#2007-04-26#,107.41,109.14,106.75,107.05,2332967
#2007-04-27#,105.85,106.73,105.27,106.41,1480027
#2007-04-30#,108.29,108.29,105.84,106.03,1287700
#2007-05-01#,106.1,108.64,105.38,108.1,1521000
#2007-05-02#,108.2,114.74,108.2,113.14,3837900
#2007-05-03#,112.5,113.7,111.74,112.82,1901200
#2007-05-04#,113.34,113.34,110.72,111.21,1801800
#2007-05-07#,110.7,111.97,110.25,111.85,1052200
#2007-05-08#,111.6,112.33,110.85,112.33,903000
#2007-05-09#,112,114.07,111.91,114,1242400
#2007-05-10#,113.99,114.48,111.23,111.37,1243050
#2007-05-11#,112.55,113.05,111.75,112.4,1501601
#2007-05-14#,111.85,112.9,111.36,111.83,743481
#2007-05-15#,111.45,112.75,110.24,111.68,1111900
#2007-05-16#,111.35,111.84,109.71,111.59,1436700
#2007-05-17#,111.4,113.7,110.8,113.14,1326112
#2007-05-18#,113.72,114.7,112.01,113.83,1768500
#2007-05-21#,113.03,113.79,113.03,113.48,980800
#2007-05-22#,115.62,115.62,112.28,113.13,1335916
#2007-05-23#,113.25,113.91,112.5,112.53,1454418
#2007-05-24#,112.95,114.08,110.95,111.18,1405300
#2007-05-25#,111.43,112.11,110.795,111.22,771300
#2007-05-28#,111.43,112.11,110.795,111.22,771300
#2007-05-29#,111.74,112.14,110.38,110.87,804500
#2007-05-30#,110.16,112,110.05,111.83,737200
#2007-05-31#,112.44,112.8,111.12,111.65,865700
#2007-06-01#,111.79,112.25,111.07,111.39,890000
#2007-06-04#,111.4,112.47,111.15,112.06,654300
#2007-06-05#,111.57,113.55,111.5,111.72,1127800
#2007-06-06#,111,112.65,110.68,111.77,973300
#2007-06-07#,110.94,111.17,107.53,107.64,1530124
#2007-06-08#,107.65,110.84,107.24,110.83,1023700
#2007-06-11#,110.76,112.4,109.9,111.72,753000
#2007-06-12#,110.81,112.8,110.77,111.32,1037200
#2007-06-13#,111.96,112.17,109.58,112.14,947100
#2007-06-14#,111.78,113.65,111.78,112.18,795400
#2007-06-15#,113.64,115.06,113,114.7,987200
#2007-06-18#,115.32,117.44,115.14,116.66,1195100
#2007-06-19#,116.85,117.42,115.35,116.85,731900
#2007-06-20#,116.8,118,114.59,114.6,784900
#2007-06-21#,114.5,115.35,113.2,114.77,1011400
#2007-06-22#,114.77,115.33,112.75,112.98,750400
#2007-06-25#,113.1,114.52,112.53,112.83,798600
#2007-06-26#,112.97,113.35,111,111,808700
#2007-06-27#,110.12,112.77,110.09,112.65,635600
